City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Bengkulu,ID,2021-03-28 01:38:24,-3.8004,102.2655,76.82,83,100,6.62,overcast clouds
61,Mar Del Plata,AR,2021-03-28 01:38:25,-38.0023,-57.5575,61.0,100,90,20.71,light rain
62,Hobart,AU,2021-03-28 01:36:01,-42.8794,147.3294,64.0,51,75,17.27,broken clouds
63,General Pico,AR,2021-03-28 01:36:22,-35.6566,-63.7568,54.1,89,37,5.95,scattered clouds
64,Tahta,EG,2021-03-28 01:41:06,26.7693,31.5021,53.49,57,0,17.72,clear sky
65,Lavrentiya,RU,2021-03-28 01:41:07,65.5833,-171.0,-1.32,85,97,1.59,overcast clouds
66,Cape Town,ZA,2021-03-28 01:41:07,-33.9258,18.4232,62.01,82,0,1.14,clear sky
67,Saint George,US,2021-03-28 01:37:30,37.1041,-113.5841,68.0,17,1,3.83,clear sky
68,Lensk,RU,2021-03-28 01:41:08,60.7253,114.9278,24.57,87,100,6.53,overcast clouds
69,Kruisfontein,ZA,2021-03-28 01:41:08,-34.0033,24.7314,57.99,79,57,3.94,broken clouds
70,Kaduqli,SD,2021-03-28 01:41:08,11.0167,29.7167,76.93,14,0,14.58,clear sky
71,Cherskiy,RU,2021-03-28 01:41:09,68.75,161.3,4.84,75,24,4.54,few clouds
72,Padang,ID,2021-03-28 01:41:09,-0.9492,100.3543,77.0,94,75,6.91,broken clouds
73,Am Timan,TD,2021-03-28 01:38:26,11.0297,20.2827,81.91,32,50,8.01,scattered clouds
74,Kayerkan,RU,2021-03-28 01:41:10,69.3497,87.7602,-1.7,99,92,1.16,overcast clouds
75,Carnarvon,AU,2021-03-28 01:38:29,-24.8667,113.6333,84.2,58,0,2.3,clear sky
76,Hithadhoo,MV,2021-03-28 01:37:17,-0.6,73.0833,83.5,73,100,14.56,overcast clouds
77,Goderich,CA,2021-03-28 01:40:41,43.7501,-81.7165,44.6,87,100,4.61,overcast clouds
78,Coolum Beach,AU,2021-03-28 01:41:10,-26.5333,153.1,82.0,91,26,1.01,scattered clouds
79,Lompoc,US,2021-03-28 01:41:11,34.6391,-120.4579,62.6,63,0,11.5,clear sky
80,Castleisland,IE,2021-03-28 01:41:11,52.2333,-9.4667,51.8,87,75,21.85,broken clouds
81,Mantua,IT,2021-03-28 01:40:06,45.1667,10.7833,48.99,83,100,1.01,overcast clouds
82,Matagami,CA,2021-03-28 01:41:12,49.7502,-77.6328,28.4,64,1,3.49,clear sky
83,Duxbury,US,2021-03-28 01:41:12,42.0418,-70.6723,43.0,87,1,9.22,clear sky
84,Lagoa,PT,2021-03-28 01:41:12,39.05,-27.9833,59.43,84,81,13.94,broken clouds
85,Nemuro,JP,2021-03-28 01:41:13,43.3236,145.575,46.4,61,75,14.97,broken clouds
86,Ilulissat,GL,2021-03-28 01:38:31,69.2167,-51.1,-16.6,58,1,3.44,clear sky
87,Tungor,RU,2021-03-28 01:41:13,53.3808,142.9564,27.28,81,11,12.8,few clouds
88,Bambous Virieux,MU,2021-03-28 01:41:14,-20.3428,57.7575,75.99,94,40,6.91,scattered clouds
89,Batagay,RU,2021-03-28 01:41:14,67.6333,134.6333,14.0,83,100,1.43,overcast clouds
90,Mataura,NZ,2021-03-28 01:38:20,-46.1927,168.8643,62.01,84,100,5.01,overcast clouds
91,Monster,NL,2021-03-28 01:41:14,52.0258,4.175,46.0,87,100,13.8,overcast clouds
92,Judenburg,AT,2021-03-28 01:41:15,47.1667,14.6667,46.99,53,100,3.0,overcast clouds
93,Tasiilaq,GL,2021-03-28 01:41:15,65.6145,-37.6368,17.6,49,90,8.05,overcast clouds
94,Guymon,US,2021-03-28 01:41:15,36.6828,-101.4816,53.6,35,1,9.22,clear sky
