,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
275,Victoria,HK,78.01,few clouds,22.2855,114.1577,Mini Hotel Central
293,Mersing,MY,75.2,scattered clouds,2.4312,103.8405,Timotel Hotel
294,Dubbo,AU,75.2,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
295,Road Town,VG,78.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
297,Kuching,MY,80.6,few clouds,1.55,110.3333,The Ranee Boutique Suites
299,Estelle,US,77.0,broken clouds,29.8458,-90.1067,Ohio
300,Calabozo,VE,81.82,overcast clouds,8.9242,-67.4293,Hotel Giardini
305,Yarada,IN,81.27,clear sky,17.65,83.2667,Jeevan
309,Brazzaville,CG,75.2,overcast clouds,-4.2658,15.2832,Hotel Murex
313,Savannah Bight,HN,80.01,clear sky,16.45,-85.85,Villa on Dunbar Rock
314,Sharjah,AE,78.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
323,Kotma,IN,77.14,clear sky,23.2,81.9667,Hotel Shree Govind
324,Morant Bay,JM,82.4,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
328,Mana,GF,76.23,broken clouds,5.6592,-53.7767,LE SAMANA
329,Diamantino,BR,75.06,broken clouds,-14.4086,-56.4461,Hotel Delta
334,Cap Malheureux,MU,75.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
336,Port Moresby,PG,87.8,scattered clouds,-9.4431,147.1797,Lamana Hotel
338,Tamale,GH,84.33,overcast clouds,9.4008,-0.8393,Tap Hotel
339,Majagual,CO,78.12,overcast clouds,8.5389,-74.6204,Achi bolivar
340,Kavieng,PG,85.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
347,Olinda,BR,75.2,mist,-8.0089,-34.8553,Hotel Albergue de Olinda
349,Mareeba,AU,81.0,light rain,-17.0,145.4333,Trinity Plains Tourist Park
350,Marawi,PH,82.0,overcast clouds,7.9986,124.2928,Derogongan Residence
351,Itoman,JP,78.01,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
353,Laem Sing,TH,89.01,light rain,12.4816,102.0738,Laemsing Whitehouse Resort
357,Faanui,PF,82.8,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Sorong,ID,78.4,light rain,-0.8833,131.25,The Waigo Hotel
361,Aneho,TG,82.4,few clouds,6.2333,1.6,Hotel La Linette
364,Miraflores,MX,77.0,scattered clouds,19.2167,-98.8083,Hotel Mansión
365,Neiafu,TO,86.0,scattered clouds,-18.65,-173.9833,Mystic Sands
366,Newcastle,AU,75.99,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
371,Sokoni,TZ,78.8,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
373,Someshwar,IN,78.8,mist,13.5,75.0667,Kadinamane Homestay
375,Lorengau,PG,84.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
377,Katubao,PH,80.6,light rain,5.8892,124.8294,IML Ecopark
379,Puerto Escondido,MX,80.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
386,San Policarpo,PH,82.04,overcast clouds,12.1791,125.5072,JM Lodge
387,Poso,ID,79.79,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
388,Florianopolis,BR,75.2,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
390,Ruwi,OM,75.2,clear sky,23.5996,58.5507,Al Falaj Hotel
392,Atambua,ID,81.82,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
399,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
401,Alice Springs,AU,87.01,few clouds,-23.7,133.8833,Desert Palms Alice Springs
411,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
413,Kolondieba,ML,80.42,few clouds,11.0882,-6.8926,Hotel Dakan
415,San Buenaventura,MX,81.95,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
416,Mackay,AU,87.01,scattered clouds,-21.15,149.2,International Lodge Motel
417,Guanare,VE,78.89,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
419,Yenagoa,NG,76.98,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
420,Tubmanburg,LR,76.03,scattered clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
421,Labuhan,ID,83.32,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
424,Sur,OM,81.03,few clouds,22.5667,59.5289,Sur Plaza Hotel
425,Half Moon Bay,US,75.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
432,Kalmunai,LK,79.63,overcast clouds,7.4167,81.8167,VS Villa
434,Rock Sound,BS,76.48,clear sky,24.9,-76.2,Rock Sound Club
435,Porto Velho,BR,77.0,light rain,-8.7619,-63.9039,Hotel Central
437,Akyab,MM,80.78,broken clouds,20.15,92.9,Hotel Memory
440,Arawa,PG,79.81,moderate rain,-6.2132,155.5367,Coastline Guest House
441,Si Bun Ruang,TH,84.16,overcast clouds,16.9667,102.2833,รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
443,Honiara,SB,86.41,scattered clouds,-9.4333,159.95,Heritage Park Hotel
445,Sigli,ID,82.49,overcast clouds,5.3848,95.9609,Losmen Dua Mali
446,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
447,Imperial,US,80.6,clear sky,33.0334,-115.4175,Mayflower Landing Field
453,Makakilo City,US,84.2,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
455,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
459,Acapulco,MX,80.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
462,Pasni,PK,75.81,few clouds,25.2631,63.471000000000004,Kashmiri Hotal
467,Ocho Rios,JM,79.0,clear sky,18.4025,-77.1048,Rooms Ocho Rios Hotel
468,Dingle,PH,86.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
475,Longhua,CN,83.05,broken clouds,23.6137,114.1919,Huadu Hotel
480,Kupang,ID,86.0,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
481,Nishihara,JP,78.8,broken clouds,26.1842,127.7558,Minshuku Agaihama
483,Galesong,ID,80.6,few clouds,-5.3166,119.3661,Sapriadi Appy
491,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
492,Matara,LK,77.88,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
499,Altinopolis,BR,77.0,clear sky,-21.0256,-47.3739,Hotel Vila das Palmeiras
500,Harper,LR,77.5,scattered clouds,4.375,-7.7169,Screensaver
501,Tual,ID,79.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
502,Alugan,PH,82.06,overcast clouds,12.2188,125.4808,JM Lodge
516,Kununurra,AU,89.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
518,Berbera,SO,76.17,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
519,Sabang,ID,82.44,broken clouds,5.8933,95.3214,Hotel Citra
524,Itamaraca,BR,75.2,mist,-7.7478,-34.8256,Special K's Bed & Breakfast
530,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
535,Longyan,CN,79.38,scattered clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
536,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
539,Ojinaga,MX,75.2,clear sky,29.5667,-104.4167,Suites Las Palmas
543,Macae,BR,77.0,clear sky,-22.3708,-41.7869,Personal Hotel
544,Rodeo,US,77.0,clear sky,38.033,-122.2669,Captain's Cottage
545,Jacksonville,US,77.0,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
