City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ambon,ID,2021-03-26 23:14:21,-3.6954,128.1814,78.8,89,40,6.91
67,Nikolskoye,RU,2021-03-26 23:18:08,59.7035,30.7861,34.0,93,40,2.44
68,Necochea,AR,2021-03-26 23:18:09,-38.5473,-58.7368,62.01,87,100,7.0
69,Puerto Ayora,EC,2021-03-26 23:18:09,-0.7393,-90.3518,82.4,74,20,9.22
70,Half Moon Bay,US,2021-03-26 23:18:09,37.4636,-122.4286,69.8,34,1,14.97
71,Pontes E Lacerda,BR,2021-03-26 23:18:10,-15.2261,-59.3353,75.58,82,84,4.54
72,Charters Towers,AU,2021-03-26 23:18:10,-20.1,146.2667,80.17,61,2,12.64
73,Grand-Bourg,GP,2021-03-26 23:18:10,15.8835,-61.3148,77.0,73,20,9.22
74,Talnakh,RU,2021-03-26 23:18:11,69.4865,88.3972,15.75,94,100,10.02
75,Longyearbyen,SJ,2021-03-26 23:15:12,78.2186,15.6401,17.6,73,20,24.16
76,Mahon,ES,2021-03-26 23:17:48,39.8885,4.2658,55.4,94,0,6.91
77,Acarau,BR,2021-03-26 23:18:11,-2.8856,-40.12,76.64,86,96,10.09
78,Matara,LK,2021-03-26 23:18:12,5.9485,80.5353,76.75,87,100,7.56
79,Busselton,AU,2021-03-26 23:18:12,-33.65,115.3333,48.0,90,80,6.04
80,Opuwo,NA,2021-03-26 23:18:12,-18.0607,13.84,67.05,69,98,5.79
81,Vani,GE,2021-03-26 23:18:13,42.0832,42.5216,41.0,87,90,6.91
82,Surt,LY,2021-03-26 23:18:13,31.2089,16.5887,57.25,60,0,2.93
83,Naze,JP,2021-03-26 23:15:46,28.3667,129.4833,68.0,64,75,16.11
84,Udachnyy,RU,2021-03-26 23:18:14,66.4167,112.4,9.66,96,100,4.9
85,Padang,ID,2021-03-26 23:18:14,-0.9492,100.3543,75.2,94,75,4.61
86,Sechura,PE,2021-03-26 23:18:14,-5.5569,-80.8222,78.51,59,17,16.82
87,Northam,GB,2021-03-26 23:18:15,51.0333,-4.2167,46.0,78,96,13.0
88,Port Alfred,ZA,2021-03-26 23:13:18,-33.5906,26.891,70.05,86,90,23.09
89,Bambous Virieux,MU,2021-03-26 23:18:15,-20.3428,57.7575,77.0,83,20,2.3
90,Bluff,NZ,2021-03-26 23:18:15,-46.6,168.3333,62.01,74,100,5.99
91,Savannah Bight,HN,2021-03-26 23:18:16,16.45,-85.85,84.2,70,20,9.22
92,Hobart,AU,2021-03-26 23:18:16,-42.8794,147.3294,57.99,82,75,5.75
93,Mandera,KE,2021-03-26 23:18:16,3.9366,41.867,85.14,19,8,6.91
94,Sioux Lookout,CA,2021-03-26 23:18:17,50.1001,-91.917,37.4,52,90,8.05
95,Iqaluit,CA,2021-03-26 23:18:17,63.7506,-68.5145,-16.01,63,20,8.05
96,Turan,VN,2021-03-26 23:18:18,16.0678,108.2208,75.2,94,75,2.3
97,Ilulissat,GL,2021-03-26 23:18:18,69.2167,-51.1,-11.2,44,9,8.05
98,Machala,EC,2021-03-26 23:18:19,-3.2667,-79.9667,82.4,69,75,8.05
99,Mindelo,CV,2021-03-26 23:18:19,16.8901,-24.9804,69.8,64,20,32.21
100,Zvishavane,ZW,2021-03-26 23:18:19,-20.3267,30.0665,67.55,67,50,1.72
101,Shingu,JP,2021-03-26 23:18:20,33.7333,135.9833,55.4,41,40,2.3
102,Omboue,GA,2021-03-26 23:18:20,-1.5746,9.2618,77.85,83,90,6.29
103,Nadvoitsy,RU,2021-03-26 23:18:20,63.8667,34.3167,31.82,88,98,2.37
104,Nuuk,GL,2021-03-26 23:18:21,64.1835,-51.7216,-2.2,65,75,26.46
105,Capissayan,PH,2021-03-26 23:18:21,18.0509,121.8177,74.35,87,34,2.86
106,Utete,TZ,2021-03-26 23:18:21,-7.986,38.758,74.1,96,100,2.62
107,Shawville,CA,2021-03-26 23:18:22,45.6001,-76.4827,37.0,97,100,12.73
108,Khatanga,RU,2021-03-26 23:18:22,71.9667,102.5,-14.39,99,92,2.66
109,Rio Cuarto,AR,2021-03-26 23:18:22,-33.1307,-64.3499,59.0,72,20,9.22
110,Laguna,US,2021-03-26 23:18:23,38.421,-121.4238,73.99,16,1,11.5
111,Belen,TR,2021-03-26 23:18:23,36.4891,36.2233,42.8,65,40,5.75
112,Tilichiki,RU,2021-03-26 23:18:23,60.4667,166.1,1.2,88,25,5.77
113,Yomou,GN,2021-03-26 23:18:24,7.5603,-9.2653,74.34,85,5,2.21
114,Ponta Do Sol,PT,2021-03-26 23:18:24,32.6667,-17.1,64.4,94,40,10.36
115,Okha,RU,2021-03-26 23:18:25,53.5739,142.9478,16.43,88,60,6.04
116,Sao Filipe,CV,2021-03-26 23:18:25,14.8961,-24.4956,70.18,76,14,15.66
